dependency_category,index,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,config_type,rating,final_rating,final_category,sub_category,explanation
value-equality,453,Spring-Cloud-Platform::::docker-compose.yml::::services::::ace-auth::::environment::::REDIS_PORT::::6379 <-> Spring-Cloud-Platform::::docker-compose.yml::::services::::redis::::ports::::in::::6379,Spring-Cloud-Platform,services.ace-auth.environment.REDIS_PORT,6379,ConfigType.PORT,docker-compose.yml,docker-compose,services.redis.ports.in,6379,ConfigType.PORT,docker-compose.yml,docker-compose,correct,TRUE,True,Port,Port,ports have to be equal
value-equality,136,litemall::::litemall-all-war/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::configuration::::resources::::resource::::directory::::../litemall-admin/dist <-> litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::configuration::::resources::::resource::::directory::::../litemall-admin/dist,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.configuration.resources.resource.directory,../litemall-admin/dist,ConfigType.PATH,litemall-all-war/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.configuration.resources.resource.directory,../litemall-admin/dist,ConfigType.PATH,litemall-all/pom.xml,maven,correct,Borderline,True,Libraries,Maven Plugins,same options in different modules specify same relative path
value-equality,389,pig::::pig-common/pig-common-feign/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> pig::::pig-common/pig-common-security/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,pig,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-feign/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-security/pom.xml,maven,correct,TRUE,True,Version Numbers,POM Version,modelVersion has to be consistent across all modules and is generally set to 4.0.0 since it is the only supported version
value-equality,376,pig::::pig-common/pig-common-feign/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-swagger/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud,pig,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-feign/pom.xml,maven,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-swagger/pom.xml,maven,correct,TRUE,True,Multi-Maven-Modules,Project Inheritance,groupID is inherited from parent
value-equality,215,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::mall-admin/src/main/resources/application.yml::::redis.database::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,redis.database,mall,ConfigType.NAME,mall-admin/src/main/resources/application.yml,spring,correct,Borderline,False,Generic Names,Names,different options that are not related
value-equality,369,pig::::pig-common/pig-common-log/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pig-upms/pom.xml::::project::::parent_pig::::groupId::::com.pig4cloud,pig,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-log/pom.xml,maven,project.parent_pig.groupId,com.pig4cloud,ConfigType.NAME,pig-upms/pom.xml,maven,correct,Borderline,True,Multi-Maven-Modules,Project Inheritance,different options that are not related
value-equality,317,piggymetrics::::docker-compose.dev.yml::::services::::rabbitmq::::ports::::in::::5672 <-> piggymetrics::::docker-compose.dev.yml::::services::::rabbitmq::::ports::::out::::5672,piggymetrics,services.rabbitmq.ports.in,5672,ConfigType.PORT,docker-compose.dev.yml,docker-compose,services.rabbitmq.ports.out,5672,ConfigType.PORT,docker-compose.dev.yml,docker-compose,correct,Borderline,False,Port,Port,host and container port can be different
value-equality,139,litemall::::litemall-all/pom.xml::::project::::packaging::::jar <-> litemall::::litemall-core/pom.xml::::project::::packaging::::jar,litemall,project.packaging,jar,ConfigType.TYPE,litemall-all/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,litemall-core/pom.xml,maven,correct,FALSE,False,Multi-Maven-Modules,Packaging Format,packaging can be different
value-equality,268,music-website::::music-client/tsconfig.json::::include::::include/src/**/*.ts::::src/**/*.ts <-> music-website::::music-manage/tsconfig.json::::include::::include/src/**/*.ts::::src/**/*.ts,music-website,include.include/src/**/*.ts,src/**/*.ts,ConfigType.PATH,music-client/tsconfig.json,tsconfig,include.include/src/**/*.ts,src/**/*.ts,ConfigType.PATH,music-manage/tsconfig.json,tsconfig,correct,Borderline,False,Others,Others,"same options but different modules, maybe identical for consistency"
value-equality,85,jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::dependencies::::dependency_hsweb-commons-crud::::groupId::::org.hswebframework.web <-> jetlinks-community::::jetlinks-manager/authentication-manager/pom.xml::::project::::dependencies::::dependency_hsweb-starter::::groupId::::org.hswebframework.web,jetlinks-community,project.dependencies.dependency_hsweb-commons-crud.groupId,org.hswebframework.web,ConfigType.NAME,jetlinks-components/elasticsearch-component/pom.xml,maven,project.dependencies.dependency_hsweb-starter.groupId,org.hswebframework.web,ConfigType.NAME,jetlinks-manager/authentication-manager/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different dependencies can have their own groupID
value-equality,17,apollo::::pom.xml::::project::::build::::resources::::resource::::excludes::::exclude_**/*.properties::::**/*.properties <-> apollo::::pom.xml::::project::::build::::resources::::resource::::includes::::include_**/*.properties::::**/*.properties,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,**/*.properties,ConfigType.PATH,pom.xml,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,ConfigType.PATH,pom.xml,maven,correct,FALSE,False,Others,Others,options specify different resources and thus do not depend on each other
value-equality,466,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.poolPreparedStatements::::True <-> Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.testWhileIdle::::True,Spring-Cloud-Platform,spring.datasource.poolPreparedStatements,TRUE,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,spring.datasource.testWhileIdle,TRUE,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,wrong,FALSE,False,Datasource,Datasource,different options that are not related
value-equality,219,mall::::mall-mbg/pom.xml::::project::::artifactId::::mall-mbg <-> mall::::mall-search/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall,project.artifactId,mall-mbg,ConfigType.NAME,mall-mbg/pom.xml,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-search/pom.xml,maven,correct,TRUE,True,Multi-Maven-Modules,Module as Dependency,module as dependency with same artifact
value-equality,279,music-website::::music-server/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-log4j::::groupId::::org.springframework.boot,music-website,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-log4j.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,correct,FALSE,False,Others,Others,dependency and plugin do not depend on each other
value-equality,73,jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_vertx-core::::groupId::::io.vertx <-> jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_vertx-mqtt::::groupId::::io.vertx,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,io.vertx,ConfigType.NAME,jetlinks-components/network-component/mqtt-component/pom.xml,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,ConfigType.NAME,jetlinks-components/network-component/mqtt-component/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different dependencies can have their own groupID
value-equality,459,Spring-Cloud-Platform::::ace-gate/src/main/docker/Dockerfile::::FROM::::livingobjects/jre8 <-> Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/docker/Dockerfile::::FROM::::livingobjects/jre8,Spring-Cloud-Platform,FROM,livingobjects/jre8,ConfigType.PATH,ace-gate/src/main/docker/Dockerfile,docker,FROM,livingobjects/jre8,ConfigType.PATH,ace-modules/ace-admin/src/main/docker/Dockerfile,docker,wrong,FALSE,False,Independent Components,Different Dockerfiles,Dockerfile are independent
value-equality,273,music-website::::music-client/tsconfig.json::::compilerOptions::::sourceMap::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True,music-website,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,correct,FALSE,False,Boolean,Boolean,different options that are not related
value-equality,333,piggymetrics::::registry/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::finalName::::${project.name} <-> piggymetrics::::turbine-stream-service/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::finalName::::${project.name},piggymetrics,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.finalName,${project.name},ConfigType.NAME,registry/pom.xml,maven,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.finalName,${project.name},ConfigType.NAME,turbine-stream-service/pom.xml,maven,correct,Borderline,True,Multi-Maven-Modules,Maven Properties,"can be individually defined in each project, but intended to be equal"
value-equality,383,pig::::pig-common/pig-common-bom/pom.xml::::project::::groupId::::com.pig4cloud <-> pig::::pom.xml::::project::::groupId::::com.pig4cloud,pig,project.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.groupId,com.pig4cloud,ConfigType.NAME,pom.xml,maven,correct,Borderline,True,Multi-Maven-Modules,Project Inheritance,"modules do not specify their own groupID but inherit it from the parent module, whenever the module is used (inheritance, dependency, etc) the groupID has to be the same"
value-equality,327,piggymetrics::::docker-compose.yml::::services::::config::::restart::::always <-> piggymetrics::::docker-compose.yml::::services::::gateway::::restart::::always,piggymetrics,services.config.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose,services.gateway.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose,correct,Borderline,False,Independent Components,Different Services,different services does not depend on each other
value-equality,496,Spring-Cloud-Platform::::ace-dev-base/ace-auth-sdk/pom.xml::::project::::dependencies::::dependency_spring-cloud-openfeign-core::::groupId::::org.springframework.cloud <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-openfeign::::groupId::::org.springframework.cloud,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-openfeign-core.groupId,org.springframework.cloud,ConfigType.NAME,ace-dev-base/ace-auth-sdk/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-openfeign.groupId,org.springframework.cloud,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different dependencies can have their own groupId
value-equality,298,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-devtools::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-devtools.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different dependencies can have their own groupID
value-equality,74,jetlinks-community::::jetlinks-components/configure-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/notify-component/notify-voice/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/configure-component/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-voice/pom.xml,maven,correct,TRUE,True,Version Numbers,POM Version,modelVersion has to be consistent across all modules and is generally set to 4.0.0 since it is the only supported version
value-equality,193,mall-swarm::::mall-admin/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-demo/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT,mall-swarm,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-demo/pom.xml,maven,correct,Borderline,False,Version Numbers,Project Version,"submodules can have different versions, for consistency should be equal"
value-equality,134,litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::goals::::goal_copy-resources::::copy-resources <-> litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::id::::copy-resources,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.goals.goal_copy-resources,copy-resources,ConfigType.VERSION_NUMBER,litemall-all/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,ConfigType.ID,litemall-all/pom.xml,maven,partially,FALSE,False,Libraries,Maven Plugins,different options that are not related
value-equality,206,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::pom.xml::::project::::artifactId::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,project.artifactId,mall,ConfigType.NAME,pom.xml,maven,correct,Borderline,False,Generic Names,Names,options do not depend on each other
value-equality,281,music-website::::music-client/tsconfig.json::::compilerOptions::::sourceMap::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True,music-website,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,correct,FALSE,False,Boolean,Boolean,different options that are not related
value-equality,348,piggymetrics::::account-service/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope::::test <-> piggymetrics::::notification-service/pom.xml::::project::::dependencies::::dependency_json-path::::scope::::test,piggymetrics,project.dependencies.dependency_spring-boot-starter-test.scope,test,ConfigType.UNKNOWN,account-service/pom.xml,maven,project.dependencies.dependency_json-path.scope,test,ConfigType.UNKNOWN,notification-service/pom.xml,maven,correct,FALSE,False,Libraries,Dependency Scope,different dependencies can have their own groupID
value-equality,45,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.defer-datasource-initialization::::true <-> apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_git-commit-id-plugin::::configuration::::generateGitPropertiesFile::::true,apollo,spring.jpa.defer-datasource-initialization,TRUE,ConfigType.VERSION_NUMBER,apollo-adminservice/src/test/resources/application.properties,spring,project.build.pluginManagement.plugins.plugin_git-commit-id-plugin.configuration.generateGitPropertiesFile,TRUE,ConfigType.BOOLEAN,pom.xml,maven,partially,FALSE,False,Boolean,Boolean,different options that are not related
value-equality,385,pig::::pig-boot/src/main/resources/application-dev.yml::::jasypt.encryptor.password::::pig <-> pig::::pig-register/pom.xml::::project::::parent_pig::::artifactId::::pig,pig,jasypt.encryptor.password,pig,ConfigType.PASSWORD,pig-boot/src/main/resources/application-dev.yml,spring,project.parent_pig.artifactId,pig,ConfigType.NAME,pig-register/pom.xml,maven,correct,FALSE,False,Generic Names,Names,different options that are not related
value-equality,379,pig::::pig-auth/pom.xml::::project::::dependencies::::dependency_pig-upms-api::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-swagger::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-upms-api.groupId,com.pig4cloud,ConfigType.NAME,pig-auth/pom.xml,maven,project.dependencyManagement.dependencies.dependency_pig-common-swagger.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,correct,FALSE,True,Multi-Maven-Modules,Project Inheritance,"modules do not specify their own groupID but inherit it from the parent module, whenever the module is used (inheritance, dependency, etc) the groupID has to be the same"
value-equality,149,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-core::::artifactId::::litemall-core <-> litemall::::pom.xml::::project::::modules::::module::::litemall-core,litemall,project.dependencies.dependency_litemall-core.artifactId,litemall-core,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.modules.module,litemall-core,ConfigType.NAME,pom.xml,maven,correct,Borderline,True,Multi-Maven-Modules,Module as Dependency,artifactID of a modules is specified as module in parent pom
value-equality,338,piggymetrics::::docker-compose.yml::::services::::auth-service::::restart::::always <-> piggymetrics::::docker-compose.yml::::services::::turbine-stream-service::::restart::::always,piggymetrics,services.auth-service.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose,services.turbine-stream-service.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose,correct,Borderline,False,Independent Components,Different Services,different services does not depend on each other
value-equality,479,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::spring.redis.jedis.pool.max-active::::20 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::spring.redis.jedis.pool.max-active::::20,Spring-Cloud-Platform,spring.redis.jedis.pool.max-active,20,ConfigType.NUMBER,ace-modules/ace-generator/src/main/resources/application.yml,spring,spring.redis.jedis.pool.max-active,20,ConfigType.NUMBER,ace-modules/ace-sample/src/main/resources/application.yml,spring,correct,Borderline,False,Integers,Number,same option but value can be different
value-equality,168,mall-swarm::::mall-mbg/pom.xml::::project::::artifactId::::mall-mbg <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall-swarm,project.artifactId,mall-mbg,ConfigType.NAME,mall-mbg/pom.xml,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-portal/pom.xml,maven,correct,TRUE,True,Multi-Maven-Modules,Module as Dependency,module as dependency with same artifact
value-equality,151,mall-swarm::::mall-common/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall-swarm::::mall-portal/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall-swarm,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-common/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-portal/pom.xml,maven,correct,TRUE,True,Version Numbers,POM Version,modelVersion has to be consistent across all modules and is generally set to 4.0.0 since it is the only supported version
value-equality,110,litemall::::litemall-db/src/main/resources/application.yml::::logging.level.root::::ERROR <-> litemall::::litemall-wx-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR,litemall,logging.level.root,ERROR,ConfigType.UNKNOWN,litemall-db/src/main/resources/application.yml,spring,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-wx-api/src/main/resources/application.yml,spring,correct,FALSE,False,Others,Logging Level,logging levels can be different 
value-equality,49,apollo::::apollo-common/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-actuator::::groupId::::org.springframework.boot <-> apollo::::apollo-portal/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot,apollo,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,ConfigType.NAME,apollo-common/pom.xml,maven,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,apollo-portal/pom.xml,maven,correct,Borderline,False,Others,Others,different options that are not related
value-equality,410,spring-boot-admin::::spring-boot-admin-build/pom.xml::::project::::packaging::::pom <-> spring-boot-admin::::spring-boot-admin-samples/pom.xml::::project::::packaging::::pom,spring-boot-admin,project.packaging,pom,ConfigType.TYPE,spring-boot-admin-build/pom.xml,maven,project.packaging,pom,ConfigType.TYPE,spring-boot-admin-samples/pom.xml,maven,correct,FALSE,False,Multi-Maven-Modules,Packaging Format,packaging can be different
value-equality,422,spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml::::services::::customers::::environment::::RABBITMQ_PORT::::5672 <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml::::services::::rabbit::::ports::::in::::5672,spring-boot-admin,services.customers.environment.RABBITMQ_PORT,5672,ConfigType.PORT,spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml,docker-compose,services.rabbit.ports.in,5672,ConfigType.PORT,spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml,docker-compose,correct,TRUE,True,Port,Port,ports have to be equal
